OfferDetails,Products
SAVE $1.00 On TWO (2) EXTRA® REFRESHERS 40CT Bottles,['extra® refreshers 40ct bottles']
SAVE 50¢ on any ONE (1) Jack Link's® Beef Jerky 5.85 oz.,"[""jack link's® beef jerky""]"
SAVE $1.00 ONE Old Spice Hair Product (excludes trial/travel size).,['hair product']
SAVE $4.00 off ONE (1) Schick® Hydro Silk3® or Intuition® Razor or Refill (excl.Schick®Disposables),"['schick® hydro silk3®', 'intuition® razor']"
"SAVE $2.00 ONE Gillette Razor (excludes Disposables, Venus Products and trial/travel size).","['gillette razor', 'venus products']"
SAVE $2.00 ONE Venus Razor (excludes disposables).,['venus razor']
"SAVE $4.00 when you buy ONE (1) Adult ZYRTEC® product, any variety (24-45ct). Excludes trial &amp; travel sizes",['adult zyrtec® product']
SAVE $1.00 ONE Prilosec OTC Product.,['prilosec otc product']
"SAVE 55¢ on any ONE (1) OFF!® Product&nbsp;(Excludes Club Packs, Twin Packs, 2 oz. and 2.5oz. OFF!® Products)","['® product', '® products']"
SAVE $2.50 on ONE Fixodent Cleanser Tabs when you buy ONE Fixodent Ultra Max Hold Denture Adhesive (excludes trial/travel size),"['fixodent cleanser tabs', 'fixodent ultra max hold denture adhesive']"
"SAVE $1.00 on Any ONE (1) BENADRYL® 20ct, 24ct or 4oz product (excludes topical, trial &amp; travel sizes)","['benadryl® 20ct', '4oz product']"
$5.00 OFF on any ONE (1) Osteo Bi-Flex® product (28ct or larger),['osteo bi-flex® product']
SAVE $3.00 ONLY On Colgate® Optic White® Renewal Toothpaste (3.0 oz. or larger),['colgate® optic white® renewal toothpaste']
"SAVE $5.00 on TWO Pantene Pro-V Ingredients OR Rescue Shots Products (excludes Gold Series Collection, Single Count Intense Rescue Shot, One Step Nourishing Mask and trial/travel size)","['pantene pro-v ingredients', 'rescue shots products', 'gold series collection', 'intense rescue shot']"
"$4.00 OFF on ONE (1) Allegra® Allergy 24ct or larger, Allegra-D®, or Children's Allegra® Product","['allegra® allergy 24ct', ""children 's allegra® product""]"
SAVE $3.00 ONE (1) Nexium® 24HR 28ct or larger,['nexium® 24hr 28ct']
$0.50 OFF ONE (1) bag of Bridgford Sweet Baby Ray’s Sausage Sticks 6oz,['bridgford sweet baby ray ’ s sausage sticks 6oz']
SAVE $1.00 on ONE (1) NIVEA® Body Wash 20 fl. oz.,['nivea® body']
SAVE $3.00 off any ONE (1) Children's Claritin® Syrup 4oz or larger,"[""children 's claritin® syrup 4oz""]"
SAVE $0.50 On One (1) Can of Fix-a-Flat® 16 oz.,[]
SAVE 75¢ when you buy ONE (1) bubly™ sparkling water 8 pack,[]
"SAVE $2.00 off any ONE (1) Banana Boat® or Hawaiian Tropic® Sun Care Product (excludes 1 oz., 1.8 oz., 2 oz., lip balm &amp; trial sizes)","['banana boat®', 'hawaiian tropic® sun care product', 'lip balm']"
SAVE $3.00 off ONE (1) Claritin® 20ct,['claritin® 20ct']
$4.00 OFF on any ONE (1) 12ct. multipack SHEBA® PERFECT PORTIONS™ Premium Cat Food,"['multipack sheba®', 'perfect portions™ premium cat food']"
$1.00 OFF any ONE (1) FINISH® Automatic Dishwasher Detergent Max in 1® 24ct. or QUANTUM® 22 ct.,"['automatic dishwasher detergent max', '1® 24ct']"
SAVE $1.00 ONE Oral-B Special Care Oral Rinse 237 mL (excludes trial/travel size).,['special care oral rinse']
SAVE $0.50 off ONE (1) MAXWELL HOUSE Iced Coffee can,['maxwell house']
"SAVE $1.00 on ANY ONE (1) bag of NEW Kingsford® Wood Pellets, Classic Blend of Hickory, Oak, and Cherry","['new kingsford® wood pellets', 'classic blend']"
SAVE $2.00 when you spend $6.00 on any Degree products,['degree products']
SAVE $2.00 when you spend $6 on any Quaker Products,['quaker products']
SAVE $1.00 when you buy ONE (1) 28 oz.TRESemmé® product.,['oz.tresemmé® product']
SAVE $1.00 on DGH Auto Spray Refills Twin Packs,['dgh auto spray refills twin']
SAVE $3.00 when you spend $10 on any Bayer Consumer Health Products,['bayer consumer health products']
"BUY TWO GET ONE Buy ONE (1) SOUR PATCH KIDS or SWEDISH FISH Candy (4 oz. or larger) and ONE (1) Crush Soda (20 oz.), get ONE (1) Crush Soda FREE (20 oz.)","['sour patch kids', 'swedish fish candy', 'crush soda', 'crush soda']"
SAVE $2.00 when you buy $7 worth of participating REESE’S brand candy,['reese ’ s brand candy']
SAVE $5.00 on any Gain scented purchase of $30 or more,[]
SAVE $1.00 when you buy any ONE (1) NEW AXE product,['new axe product']
"BUY TWO GET ONE Buy ONE (1) CHIPS AHOY! Cookies (9.5-19.5 oz.) and ONE (1) SOUR PATCH KIDS Candy (4 oz. or larger), get ONE (1) SOUR PATCH KIDS CHIPS AHOY! Cookies FREE (8 oz.;)","['chips ahoy', '9.5-19.5 oz', 'sour patch kids candy', 'sour patch kids chips ahoy']"
SAVE $2.00 when you spend $6 on all Suave® products,['suave® products']
